experiment,scenario,run,psc,min_ttc,min_distance,detection_latency,vlm_latency,continue_count,slow_down_count,yield_count,scenario_duration
novlm,frontal_approach,15,100.00,inf,2.317,0.919,0.775,2,0,0,23.99
novlm,intersection,15,100.00,inf,3.584,N/A,N/A,0,0,0,19.71
novlm,doorway,15,100.00,18.170,4.297,N/A,N/A,0,0,0,33.46
novlm,frontal_approach,16,100.00,inf,2.053,0.352,0.866,3,0,0,23.57
novlm,intersection,16,100.00,inf,2.727,N/A,N/A,0,0,0,26.07
novlm,doorway,16,100.00,22.545,4.874,N/A,N/A,0,0,0,32.84
novlm,frontal_approach,17,100.00,269.371,2.047,0.229,0.732,2,0,0,22.23
novlm,intersection,17,100.00,inf,2.421,N/A,N/A,0,0,0,34.55
novlm,doorway,17,68.31,0.000,-0.133,0.224,0.981,12,0,0,274.46
novlm,frontal_approach,18,85.14,10.399,0.859,0.565,0.846,5,0,0,62.42
novlm,intersection,18,59.12,1.308,0.201,N/A,N/A,0,0,0,46.98
novlm,doorway,18,60.46,0.000,-0.114,0.646,0.952,6,0,0,169.83
novlm,frontal_approach,19,84.32,11.029,0.909,0.365,0.715,5,0,0,59.94
novlm,intersection,19,57.98,0.661,0.102,N/A,N/A,0,0,0,64.97
novlm,doorway,19,10.29,0.000,-0.120,0.305,0.916,15,0,0,104.02
novlm,frontal_approach,20,93.75,19.615,0.864,-0.280,5.541,6,0,0,113.88
novlm,intersection,20,37.19,4.054,0.900,N/A,N/A,0,0,0,100.26
novlm,doorway,20,100.00,25.093,5.798,4.825,1.155,2,0,0,31.09
novlm,frontal_approach,21,94.05,15.359,0.935,0.228,0.414,9,0,0,95.19
novlm,intersection,21,61.51,4.317,0.901,N/A,N/A,0,0,0,77.73
novlm,doorway,21,100.00,25.637,6.139,N/A,N/A,0,0,0,32.36
novlm,frontal_approach,22,86.75,19.449,0.758,0.645,1.094,7,0,0,49.52
novlm,intersection,22,100.00,11.612,2.326,78.615,1.117,5,0,0,159.83
novlm,doorway,22,100.00,45.655,7.296,3.884,0.976,2,0,0,92.46
novlm,frontal_approach,1,43.18,0.000,-0.240,0.681,0.577,10,0,0,83.21
novlm,intersection,1,85.12,3.340,0.788,0.214,0.710,10,0,0,218.81
novlm,doorway,1,77.73,0.116,0.056,0.476,0.932,6,0,0,240.21
novlm,frontal_approach,1,81.60,15.634,0.557,0.957,0.770,6,0,0,57.87
novlm,intersection,1,95.33,15.701,0.928,0.436,1.021,9,0,0,242.42
novlm,doorway,1,90.20,0.229,0.114,0.674,0.931,11,0,0,181.73
novlm,frontal_approach,2,81.41,7.368,0.476,0.445,0.349,6,0,0,60.69
